marca,modelo,precio,kilometraje,motor,region,año,combustible,transmision
HONDA,PILOT,28.99,82000,3.5,Metropolitana,2020,gasolina,automatico
VOLVO,S60,15.6,103000,2.0,Metropolitana,2019,diesel,automatico
SUBARU,FORESTER,9.89,99000,2.5,Metropolitana,2013,gasolina,automatico
JAC,JS3,9.47,43784,1.6,Metropolitana,2022,gasolina,automatico
NISSAN,NAVARA,21.99,72000,2.3,Biobío,2022,diesel,mecanico
HUMMER,H3,14.78,112544,3.5,Metropolitana,2008,gasolina,automatico
NISSAN,SENTRA,11.49,53709,2.0,Metropolitana,2019,gasolina,mecanico
VOLVO,XC70,9.99,241307,2.4,Metropolitana,2013,diesel,automatico
FORD,ECOSPORT,11.29,65846,1.5,Metropolitana,2021,gasolina,automatico
LAND ROVER,DISCOVERY,32.98,53408,3.0,Metropolitana,2018,gasolina,automatico
LAND ROVER,RANGE ROVER VELAR,34.99,71000,2.0,Los Lagos,2019,gasolina,automatico
HYUNDAI,TUCSON,10.99,150000,2.0,Los Lagos,2016,gasolina,automatico
HYUNDAI,TUCSON,7.99,85000,2.0,Metropolitana,2014,gasolina,automatico
SUZUKI,CELERIO,6.49,96000,1.0,Los Lagos,2021,gasolina,mecanico
MAZDA,CX-3,13.5,70000,,Metropolitana,2019,gasolina,mecanico
CHEVROLET,GROOVE,10.99,57000,1.5,Los Lagos,2021,gasolina,mecanico
KIA,SELTOS,14.5,49000,1.6,Los Lagos,2020,gasolina,mecanico
JAC,JS3,9.47,43784,1.6,Metropolitana,2022,gasolina,automatico
NISSAN,NAVARA,21.99,72000,2.3,Biobío,2022,diesel,mecanico
MAZDA,CX-5,10.98,125600,2.0,Metropolitana,2014,gasolina,automatico
GREAT WALL,POER,14.59,66000,2.0,Metropolitana,2022,diesel,mecanico
CHERY,TIGGO 2,8.99,17000,1.5,Metropolitana,2023,gasolina,mecanico
CHANGAN,CS35,8.99,52000,1.6,Metropolitana,2020,gasolina,mecanico
MAXUS,T60,10.0,143000,2.8,Metropolitana,2020,diesel,mecanico
SUBARU,OUTBACK,14.5,83345,2.5,Metropolitana,2016,gasolina,automatico
JAC,JS3,9.47,43784,1.6,Metropolitana,2022,gasolina,automatico
NISSAN,NAVARA,21.99,72000,2.3,Biobío,2022,diesel,mecanico
SSANGYONG,GRAND MUSSO,14.49,85000,1.6,O’Higgins,2022,diesel,mecanico
PEUGEOT,308,7.89,159000,1.2,Valparaíso,2017,gasolina,mecanico
RENAULT,OROCH,10.99,79000,2.0,Valparaíso,2020,gasolina,mecanico
JAC,S2,8.49,33000,1.5,O’Higgins,2023,gasolina,mecanico
FORD,ESCAPE,15.29,75000,2.0,Valparaíso,2020,gasolina,automatico
TOYOTA,4RUNNER,20.99,92800,4.0,Metropolitana,2017,gasolina,automatico
FORD,RANGER,12.99,266413,3.2,Valparaíso,2013,diesel,mecanico
MG,HS,14.79,21430,2.0,Valparaíso,2022,gasolina,automatico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
TOYOTA,COROLLA,4.2,148000,1.6,Metropolitana,2014,gasolina,mecanico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
RENAULT,SYMBOL,7.48,44000,1.6,Metropolitana,2021,gasolina,mecanico
NISSAN,QASHQAI,7.999,89600,2.0,Metropolitana,2014,gasolina,automatico
HYUNDAI,TUCSON,10.19,145900,,Metropolitana,2012,diesel,automatico
KIA,CARENS,11.3,92000,,Metropolitana,2018,diesel,mecanico
RAM,1000,14.99,132000,1.8,Biobío,2020,gasolina,automatico
KIA,SPORTAGE,8.78,88600,2.0,Metropolitana,2015,gasolina,mecanico
HYUNDAI,GRAND SANTA FE,16.99,87000,3.3,Metropolitana,2016,gasolina,automatico
FORD,EDGE,14.8,97400,3.5,Coquimbo,2017,gasolina,automatico
TOYOTA,RAV4,19.8,36000,2.0,Coquimbo,2022,gasolina,mecanico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
BMW,X1,17.49,81000,2.0,Metropolitana,2018,gasolina,automatico
TOYOTA,COROLLA,17.99,17000,2.0,Metropolitana,2023,gasolina,automatico
SUBARU,XV,15.69,66000,2.0,Metropolitana,2018,gasolina,automatico
KIA,FRONTIER,24.98,3000,2.5,Metropolitana,2024,diesel,mecanico
KIA,SORENTO,20.29,120000,2.2,Metropolitana,2020,diesel,automatico
SUBARU,OUTBACK,16.3,129816,2.5,Metropolitana,2019,gasolina,automatico
VOLKSWAGEN,AMAROK,14.99,185000,2.0,La Araucanía,2017,diesel,automatico
FORD,ESCAPE,13.49,78000,1.5,Biobío,2019,gasolina,mecanico
MITSUBISHI,L-200,27.99,40000,2.4,Metropolitana,2023,diesel,automatico
M. BENZ,A200,23.99,67000,2.0,Biobío,2020,diesel,automatico
SUBARU,OUTBACK,27.89,56500,2.5,Metropolitana,2022,gasolina,automatico
KIA,SPORTAGE,12.99,75000,2.0,Biobío,2018,gasolina,mecanico
FORD,ESCAPE,9.77,92993,2.5,Metropolitana,2017,gasolina,automatico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
JEEP,GRAND CHEROKEE,17.99,126000,3.6,Biobío,2019,gasolina,automatico
FORD,ESCAPE,4.49,140000,3.0,Ñuble,2004,gasolina,automatico
CHEVROLET,SILVERADO,34.99,41000,5.3,Biobío,2021,gasolina,automatico
DODGE,RAM 1500,19.99,148000,5.7,La Araucanía,2017,gasolina,automatico
SUZUKI,BALENO,8.6,83139,1.4,Metropolitana,2018,gasolina,automatico
RAM,RAM,32.99,21400,,Metropolitana,2023,gasolina,automatico
BMW,320I,15.99,94000,2.0,Biobío,2016,gasolina,automatico
LAND ROVER,RANGE ROVER EVOQUE,18.49,134000,2.0,Biobío,2014,gasolina,automatico
RAM,1000,14.99,132000,1.8,Biobío,2020,gasolina,automatico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
FORD,ESCAPE,13.49,78000,1.5,Biobío,2019,gasolina,mecanico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
BMW,X3,14.59,151913,3.0,Metropolitana,2015,gasolina,automatico
PEUGEOT,308,16.24,14000,1.2,Biobío,2024,gasolina,mecanico
M. BENZ,C,28.9,51000,3.0,Biobío,2017,gasolina,automatico
MG,ZS,8.49,13000,1.5,Biobío,2023,gasolina,mecanico
SUZUKI,DZIRE,7.98,55000,1.2,Metropolitana,2022,gasolina,mecanico
FORD,Ranger Raptor,33.99,88000,2.0,Biobío,2021,gasolina,automatico
JAGUAR,XE,18.99,92000,2.5,Biobío,2019,gasolina,automatico
AUDI,S4,22.99,75000,3.0,Biobío,2013,gasolina,automatico
PEUGEOT,208,8.49,60100,1.2,Metropolitana,2019,gasolina,mecanico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
LEXUS,NX,19.48,134000,2.0,Metropolitana,2017,gasolina,automatico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
HYUNDAI,VELOSTER,13.89,75000,2.0,Valparaíso,2019,gasolina,mecanico
KIA,RIO 4,8.59,50000,1.4,Metropolitana,2020,gasolina,mecanico
TOYOTA,RAV4,10.59,170000,2.0,Metropolitana,2018,gasolina,automatico
