id;enlace;titulo;marca;modelo;motor;combustible;kilometraje;transmision;precio;localidad;region
CL-AD-14133841;https://www.chileautos.cl/vehiculos/detalles/2021-mazda-cx-5-2-0-skyactiv-r-auto/CL-AD-14133841/?Cr=378;2021 Mazda Cx-5 2.0 Skyactiv R Auto;MAZDA;CX-5;20;Bencina;13500;Automatica;21500000.0;Calama; Antofagasta
CL-AD-14115185;https://www.chileautos.cl/vehiculos/detalles/2019-mazda-bt-50-2-2-dsl-manual-sdx-4wd/CL-AD-14115185/?Cr=379;2019 Mazda Bt-50 2.2 DSL Manual SDX 4WD;MAZDA;BT-50;22;Diesel;170000;Manual;16000000.0;Providencia;
CL-AD-15476928;https://www.chileautos.cl/vehiculos/detalles/2019-mazda-3-2-0-auto-skyactiv-g-v-sr/CL-AD-15476928/?Cr=380;2019 Mazda 3 2.0 Auto Skyactiv-G V SR;MAZDA;MAZDA3;20;Bencina;39500;Automatica;13400000.0;Las Condes;
CL-AD-14750005;https://www.chileautos.cl/vehiculos/detalles/2013-mazda-3-sport/CL-AD-14750005/?Cr=381;2013 Mazda 3 Sport;;;;Bencina;127200;Manual;7800000.0;Macul;
CL-AD-15559989;https://www.chileautos.cl/vehiculos/detalles/2013-mazda-bt-50-2-2-dsl-sdx/CL-AD-15559989/?Cr=382;2013 Mazda Bt-50 2.2 DSL SDX;MAZDA;BT-50;22;Diesel;406000;Manual;8950000.0;Las Condes;
CL-AD-14601470;https://www.chileautos.cl/vehiculos/detalles/2017-mazda-bt-50-2-2-dsl-sdx-4wd/CL-AD-14601470/?Cr=383;2017 Mazda Bt-50 2.2 DSL SDX 4WD;MAZDA;BT-50;22;Diesel;157000;Manual;16500000.0;Las Condes;
CL-AD-15257567;https://www.chileautos.cl/vehiculos/detalles/1998-mazda-b2200/CL-AD-15257567/?Cr=384;1998 Mazda B2200;;;;Bencina;246703;Manual;4450000.0;San Pedro de la Paz;Bio Bio
CL-AD-14579130;https://www.chileautos.cl/vehiculos/detalles/2012-mazda-cx-9-3-7-gt-4wd/CL-AD-14579130/?Cr=385;2012 Mazda Cx-9 3.7 GT 4WD;MAZDA;CX-9;37;Bencina;200000;Automatica;9600000.0;Colina;
CL-AD-15377616;https://www.chileautos.cl/vehiculos/detalles/2014-mazda-cx-5-2-0-skyactiv-r-auto/CL-AD-15377616/?Cr=386;2014 Mazda Cx-5 2.0 Skyactiv R Auto;MAZDA;CX-5;20;Bencina;100600;Automatica;12000000.0;San Pedro de la Paz;Bio Bio
CL-AD-15056715;https://www.chileautos.cl/vehiculos/detalles/2013-mazda-bt-50-2-2-dsl-dx/CL-AD-15056715/?Cr=387;2013 Mazda Bt-50 2.2 DSL DX;MAZDA;BT-50;22;Diesel;186000;Manual;14300000.0;Providencia;
CL-AD-10369353;https://www.chileautos.cl/vehiculos/detalles/2013-mazda-cx-5-2-5-skyactiv-gt-auto-4wd/CL-AD-10369353/?Cr=388;2013 Mazda Cx-5 2.5 Skyactiv GT Auto 4WD;MAZDA;CX-5;25;Bencina;120000;Automatica;11000000.0;San Miguel;
CL-AD-15360556;https://www.chileautos.cl/vehiculos/detalles/2017-mazda-3-2-5-skyactiv-g-gt-a-bose/CL-AD-15360556/?Cr=389;2017 Mazda 3 2.5 Skyactiv-G GT A. Bose;MAZDA;MAZDA3;25;Bencina;96700;Manual;13800000.0;Las Condes;
CL-AD-14815349;https://www.chileautos.cl/vehiculos/detalles/2019-mazda-3-sport/CL-AD-14815349/?Cr=390;2019 Mazda 3 Sport;;;;Bencina;31000;Automatica;15490000.0;Requinoa; OHiggins
CL-AD-14905779;https://www.chileautos.cl/vehiculos/detalles/2019-mazda-3-2-0-skyactiv-g-v-auto/CL-AD-14905779/?Cr=391;2019 Mazda 3 2.0 Skyactiv-G V Auto;MAZDA;MAZDA3;20;Bencina;24000;Automatica;14950000.0;Quilicura;
CL-AD-14886589;https://www.chileautos.cl/vehiculos/detalles/2010-mazda-cx-7/CL-AD-14886589/?Cr=392;2010 Mazda Cx-7;;;;Bencina;168669;Automatica;6490000.0;La Florida;
CL-AD-14899040;https://www.chileautos.cl/vehiculos/detalles/2015-mazda-6-2-5-skyactiv-g-gt-auto/CL-AD-14899040/?Cr=393;2015 Mazda 6 2.5 Skyactiv-G GT Auto;MAZDA;MAZDA6;25;Bencina;103500;Automatica;10990000.0;Buin;
CL-AD-15263399;https://www.chileautos.cl/vehiculos/detalles/2017-mazda-cx-5-2-5-skyactiv-gt-auto-4wd/CL-AD-15263399/?Cr=394;2017 Mazda Cx-5 2.5 Skyactiv GT Auto 4WD;MAZDA;CX-5;25;Bencina;92000;Automatica;19500000.0;Pudahuel;
CL-AD-14990427;https://www.chileautos.cl/vehiculos/detalles/2021-mazda-3-2-0-skyactiv-g-s/CL-AD-14990427/?Cr=395;2021 Mazda 3 2.0 Skyactiv-G S;MAZDA;MAZDA3;20;Bencina;27500;Manual;16500000.0;Machali; OHiggins
CL-AD-15661336;https://www.chileautos.cl/vehiculos/detalles/2015-mazda-cx-5-2-5-skyactiv-gt-auto-4wd/CL-AD-15661336/?Cr=396;2015 Mazda Cx-5 2.5 Skyactiv GT Auto 4WD;MAZDA;CX-5;25;Bencina;88000;Automatica;12300000.0;Las Condes;
CL-AD-15686938;https://www.chileautos.cl/vehiculos/detalles/2021-mazda-cx-30-2-0-v-auto-skyactive-g-4wd/CL-AD-15686938/?Cr=397;2021 Mazda Cx-30 2.0 V Auto Skyactive-G 4WD;MAZDA;CX-30;20;Bencina;33500;Automatica;18990000.0;Lo Barnechea;
CL-AD-15322725;https://www.chileautos.cl/vehiculos/detalles/2022-mazda-cx-5/CL-AD-15322725/?Cr=398;2022 Mazda Cx-5;;;;Bencina;6000;Automatica;21500000.0;Las Condes;
CL-AD-15160595;https://www.chileautos.cl/vehiculos/detalles/2022-mazda-cx-5-2-0-core/CL-AD-15160595/?Cr=399;2022 Mazda Cx-5 2.0 Core;MAZDA;CX-5;20;Bencina;160000;Manual;17500000.0;Concepcion; Bio Bio
CL-AD-15222451;https://www.chileautos.cl/vehiculos/detalles/2016-mazda-cx-5-2-0-skyactiv-r-auto-4wd/CL-AD-15222451/?Cr=400;2016 Mazda Cx-5 2.0 Skyactiv R Auto 4WD;MAZDA;CX-5;20;Bencina;100000;Automatica;12500000.0;Las Condes;
CL-AD-15835786;https://www.chileautos.cl/vehiculos/detalles/2021-mazda-bt-50-3-2-dsl-sdx-auto-hi-rider-4wd/CL-AD-15835786/?Cr=401;2021 Mazda Bt-50 3.2 DSL SDX Auto Hi Rider 4WD;MAZDA;BT-50;32;Diesel;43500;Automatica;27000000.0;Temuco; Araucania
CL-AD-15503308;https://www.chileautos.cl/vehiculos/detalles/2015-mazda-cx-5-2-0-skyactiv-r-auto/CL-AD-15503308/?Cr=402;2015 Mazda Cx-5 2.0 Skyactiv R Auto;MAZDA;CX-5;20;Bencina;118000;Automatica;13150000.0;Maipu;
CL-AD-15322642;https://www.chileautos.cl/vehiculos/detalles/2015-mazda-3-sport/CL-AD-15322642/?Cr=403;2015 Mazda 3 Sport;;;;Bencina;193000;Automatica;9800000.0;Colina;
CL-AD-15244157;https://www.chileautos.cl/vehiculos/detalles/2015-mazda-3-2-0-skyactiv-g-v-auto/CL-AD-15244157/?Cr=404;2015 Mazda 3 2.0 Skyactiv-G V Auto;MAZDA;MAZDA3;20;Bencina;139600;Automatica;8900000.0;Antofagasta; Antofagasta
CL-AD-15427261;https://www.chileautos.cl/vehiculos/detalles/2001-mazda-323-1-6-glx-auto/CL-AD-15427261/?Cr=405;2001 Mazda 323 1.6 GLX AUTO;MAZDA;323;16;Bencina;218600;Automatica;3700000.0;Vina del Mar; Valparaiso
CL-AD-15783063;https://www.chileautos.cl/vehiculos/detalles/2009-mazda-cx-9-3-7l-gtx-autoawd/CL-AD-15783063/?Cr=406;2009 Mazda Cx-9 3.7L GTX AUTOAWD;MAZDA;CX-9;37;Bencina;141000;Automatica;9990000.0;Penalolen;
